,steps,dc1,dc2,dc3,dc4
102,103,-8.32503595563169,0.1255191889277337,-0.021573986531391497,-0.7861899236443538
103,104,-7.396735680899753,0.08825751042772637,-0.01939785814332495,-1.0668032537852568
104,105,-6.36035798189344,0.0839598751757781,0.05003297213147696,-1.6395970882437347
105,106,-5.465331069657103,0.11212262608470076,0.09527159314381635,-1.6500058453947613
106,107,-4.79145953941035,0.15959879236713012,0.04059467925100211,-1.67322517414769
107,108,-4.3635198543507,0.20649615556711845,0.008529873122481805,-1.7278076375235862
108,109,-4.11534110874133,0.2411563512793167,-0.00688939653992595,1.7394731725072992
109,110,-3.962233947625551,0.2619279567986494,-0.01384184313183974,1.5313123419751125
110,111,-3.8735664300904817,0.2760679282375016,-0.012123989195376189,1.3206727673672036
111,112,-3.816405390216147,0.28360489264168076,-0.014915051670762456,1.220011247755241
112,113,-3.7769666327053493,0.28738008430762557,-0.014987079089482092,1.1604498274953476
113,114,-3.754152088505155,0.2905666323441434,-0.014698069071869527,1.1180633932529862
114,115,-3.7430110959239498,0.2909101568938395,-0.012769534935651031,1.093189183034816
115,116,-3.737243784336706,0.29178149260062375,-0.013440290272477702,1.0769105166001036
116,117,-3.737229535265471,0.2915855762558754,-0.016538369620156007,1.0555061902757947
117,118,-3.7450540565139945,0.29167771955956967,-0.011476642769633392,1.0447619841791187
118,119,-3.7558691015903998,0.2905737891055927,-0.01397509385647108,1.0562889044823216
119,120,-3.7649787109519335,0.2883167254626601,-0.013956186659057197,1.0352289724088835
120,121,-3.7795368089315393,0.2860104590847447,-0.012882978120134472,0.9792474632970075
121,122,-3.810539225697155,0.2842785228133529,-0.012610174271733807,0.8729799209052572
122,123,-3.8680137451388594,0.2775717427376114,-0.011406416036381756,0.679622675977462
123,124,-3.980210041570591,0.2663078948072888,-0.003036829981158843,0.4486683132207162
124,125,-4.1586627381668695,0.24653913048642256,0.010737513506238878,0.3238571531131915
125,126,-4.512003191846821,0.21470138257187188,0.05073433912125944,0.24974619391713074
126,127,-5.061377914907901,0.1661051831222065,0.1185463531603339,0.2084153056904269
